Unnamed: 0,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,Latitude,Longitude
37,Nassfeld-Hermagor,Austria,2002,600,46,30,69,11,110,Yes,Yes,16,9,5,30,49386,483,46.5608764,13.2758363
38,Mondolè Ski-Artesina-​Frabosa Soprana-​Prato Nevoso,Italy,807,803,33,42,51,11,105,Yes,Yes,19,14,0,33,26068,0,44.253402,7.779818800000000
39,Aletsch Arena-Riederalp-​Bettmeralp-​Fiesch Eggishorn,Switzerland,1845,759,53,42,50,12,104,Yes,Yes,18,8,12,38,41109,258,46.4313999,8.09431
40,Bad Kleinkirchheim-​St. Oswald,Austria,2055,1087,47,18,77,8,103,Yes,Yes,17,7,4,28,31186,800,46.8472427,13.75548
41,Bardonecchia,Italy,2694,1312,36,54,38,8,100,Yes,No,13,9,1,23,27588,0,45.07428610000000,6.6960506
42,Saint-Lary-Soulan,France,1600,812,42,60,30,10,100,Yes,Yes,17,11,3,31,38733,290,42.815835,0.320251
43,Orcières Merlette 1850,France,2725,1850,34,55,38,7,100,Yes,No,20,7,3,30,29605,0,44.697,6.322
44,Dévoluy-Superdévoluy-​La Joue du Loup,France,2450,1450,36,60,30,10,100,Yes,No,18,5,1,24,27646,180,44.6767135,5.927624
45,Grand Tourmalet-​Pic du Midi-La Mongie-​Barèges,France,2500,1250,42,58,35,7,100,Yes,No,21,15,2,38,40231,0,42.90902640000000,0.167349
46,Parsenn (Davos Klosters),Switzerland,2844,810,61,20,60,16,96,Yes,No,4,6,8,18,26795,169,46.8084909,9.838794100000000
47,Åre,Sweden,1274,380,45,45,38,8,91,Yes,Yes,27,5,4,36,39000,0,63.399043,13.081506
48,Alto Sangro-Roccaraso-​Rivisondoli,Italy,2141,1309,41,37,32,20,90,No,No,11,11,4,26,36602,0,41.8516342,14.0754276
49,Chamrousse,France,2250,1400,34,45,35,10,90,Yes,Yes,8,7,1,16,24398,78,45.1253237,5.8786803
50,Valberg-​Beuil les Launes,France,2020,1412,32,45,35,10,90,Yes,No,22,7,0,29,25940,400,44.0955133,6.9299862
51,Adelboden-​Lenk-Chuenisbärgli-​Silleren-​Hahnenmoos-​Metsch,Switzerland,1260,1072,55,44,38,6,88,Yes,Yes,12,8,6,26,34620,500,46.4724722,7.5463989
52,Rinderberg-​Saanerslochgrat-​Horneggli-Zweisimmen-​Saanenmöser-​Schönried-​St. Stephan,Switzerland,2011,948,54,62,21,4,88,Yes,Yes,9,8,4,21,18360,0,46.5054142,7.356972800000000
53,Graukogel-Bad Gastein,Austria,2007,1079,36,3,6,2,11,No,No,1,2,0,3,3352,0,47.09725480000000,13.1714428
54,Les Portes du Mont-Blanc-Combloux-​Megève le Jaillet-​La Giettaz,France,1835,1113,35,28,50,7,85,No,No,16,8,1,25,29842,0,45.893289,6.624431
55,Le Grand Bornand,France,2100,1000,37,49,27,8,84,Yes,Yes,18,13,2,33,36904,233,45.942027,6.426699000000000
56,Kaltenbach-Hochzillertal-​Hochfügen-SKi-optimal-,Austria,2378,600,52,28,41,13,83,Yes,Yes,22,12,5,39,59933,400,47.28940190000000,11.8728268
57,Grimentz-​Zinal,Switzerland,2900,1570,51,26,28,26,80,Yes,No,13,5,3,21,19345,96,46.1357214,7.6257892
58,Civetta-Alleghe-​Selva di Cadore-​Palafavera-​Zoldo,Italy,2100,1000,43,30,44,6,80,Yes,Yes,10,10,3,23,33289,100,46.4026191,12.1005711
59,Ax les Thermes,France,1400,720,37,40,25,15,80,Yes,No,11,6,2,19,21320,0,42.720254,1.837545
60,Damüls Mellau,Austria,2050,690,49,37,39,1,79,Yes,No,10,13,2,25,37160,130,47.2828764,9.891601400000000
61,Zell am See,Austria,2000,760,50,30,28,19,77,Yes,Yes,9,10,8,27,48407,450,47.32352000000000,12.79685
62,Cerler,Spain,2621,1505,42,35,27,14,76,Yes,No,10,9,0,19,20670,0,42.5922661,0.5402586000000000
63,Three Peaks Dolomites-Helm-​Stiergarten-​Rotwand-​Kreuzbergpass,Italy,2200,1130,51,17,39,18,75,Yes,No,20,4,6,30,21535,250,46.4254,12.2314
64,Puy St. Vincent,France,2677,1407,34,28,34,13,75,Yes,Yes,4,8,0,12,17155,95,44.828837,6.492608
65,Folgaria-​Fiorentini,Italy,1850,1200,40,36,32,5,74,Yes,No,13,17,0,30,35900,280,45.8966692,11.2642188
66,Titlis-Engelberg,Switzerland,3020,1000,57,34,26,12,72,Yes,No,7,6,7,20,23316,180,46.772048,8.4377704
67,Trysil,Norway,1100,415,46,33,18,20,71,Yes,Yes,29,7,0,36,36182,418,61.2373874,12.2892361
68,Nauders am Reschenpass-Bergkastel,Austria,2850,1400,42,24,34,13,71,Yes,No,11,5,1,17,17651,92,46.8333333,10.5
69,Grossarltal-​Dorfgastein,Austria,2033,850,50,25,43,1,70,Yes,No,7,8,5,20,29710,0,47.2353436,13.1999511
70,Katschberg,Austria,2220,1066,46,10,50,10,70,Yes,Yes,9,6,2,17,26458,750,47.0591777,13.6155855
71,Valfréjus,France,2737,1550,29,40,20,10,70,Yes,No,5,4,1,10,15800,80,45.172652,6.6522522
72,Savognin,Switzerland,2713,1200,50,32,38,0,70,Yes,Yes,10,2,1,13,14000,100,46.5973658,9.5969599
73,Scuol-Motta Naluns,Switzerland,2785,1250,50,27,32,11,70,Yes,No,6,6,1,13,18000,136,46.8107218,10.2721041
74,Passo San Pellegrino-​Falcade,Italy,2513,1190,47,20,38,8,67,Yes,No,6,9,2,17,24030,0,46.3775521,11.8019654
75,Piau Engaly,France,2560,1420,37,35,22,8,65,Yes,No,5,5,0,10,13615,40,42.7837322,0.1586149
76,Flumserberg,Switzerland,665,425,51,10,38,17,65,Yes,Yes,9,8,4,21,30867,0,47.0923496,9.280507000000000
77,Super Sauze,France,2450,1400,30,35,20,10,65,Yes,No,18,4,0,22,17948,100,44.3585856,6.6855324
78,Bukovel,Ukraine,1372,890,32,26,28,11,65,Yes,Yes,3,15,0,18,33839,0,48.3652509,24.4003535
